"value_eur";"club_name";"league_id";"league_name";"club_position";"overall";"potential";"age";"wage_eur";"release_clause_eur";"nation_team_id";"moneda"
127500000;"Barcelona";2222;"Primera Division Women";"LCM";91;91;29;4000;261400000;113012;"€"
1,49e+08;"Barcelona";2222;"Primera Division Women";"RCM";90;92;25;3000;316600000;113012;"€"
120500000;"Barcelona";2222;"Primera Division Women";"RW";90;90;28;3000;2,47e+08;113007;"€"
119500000;"Chelsea";2216;"Women's Super League";"ST";90;90;29;3000;2,45e+08;;"£"
97500000;"Barcelona";2222;"Primera Division Women";"LCB";89;90;28;2000;207200000;;"€"
6,6e+07;"San Diego Wave";2221;"NWSL";"ST";89;89;33;3000;138600000;113009;"€"
1,12e+08;"Olympique Lyonnais";2218;"Feminine Division 1";"ST";89;89;27;3000;229600000;113007;"€"
1,04e+08;"Olympique Lyonnais";2218;"Feminine Division 1";"RW";89;89;28;3000;213200000;113003;"€"
132500000;"Paris Saint Germain";2218;"Feminine Division 1";"ST";88;92;24;2000;288200000;;"€"
1,14e+08;"Barcelona";2222;"Primera Division Women";"CDM";88;90;25;2000;242300000;;"€"
122500000;"Portland Thorns";2221;"NWSL";"ST";88;90;22;2000;266400000;113009;"€"
7,4e+07;"Wolfsburg";2215;"Bundesliga Women";"LAM";88;88;32;3000;151700000;113004;"€"
75500000;"Kansas City";2221;"NWSL";"CAM";88;88;31;2000;158600000;;"€"
62500000;"Barcelona";2222;"Primera Division Women";"RCB";88;88;31;2000;128100000;113012;"€"
59500000;"Olympique Lyonnais";2218;"Feminine Division 1";"LCB";88;88;32;2000;1,22e+08;113003;"€"
9,2e+07;"Chelsea";2216;"Women's Super League";"LW";88;88;28;3000;188600000;113007;"£"
48500000;"Olympique Lyonnais";2218;"Feminine Division 1";"GK";88;88;31;2000;99400000;;"€"
105500000;"Wolfsburg";2215;"Bundesliga Women";"ST";87;90;26;2000;224200000;;"€"
100500000;"Wolfsburg";2215;"Bundesliga Women";"LDM";87;90;21;1000;213600000;113004;"€"
7e+07;"Barcelona";2222;"Primera Division Women";"LB";87;87;29;2000;143500000;113008;"€"
5,8e+07;"Barcelona";2222;"Primera Division Women";"RB";87;87;31;2000;118900000;113002;"€"
5,3e+07;"Barcelona";2222;"Primera Division Women";"GK";87;87;30;2000;108700000;;"€"
8e+07;"OL Reign";2221;"NWSL";"CAM";87;87;28;2000;1,68e+08;113009;"€"
8e+07;"Bayern Munich";2215;"Bundesliga Women";"RDM";87;87;28;2000;1,68e+08;113004;"€"
8e+07;"Arsenal";2216;"Women's Super League";"SUB";87;87;28;2000;1,64e+08;113002;"£"
